term,estimate,std_error,t_statistic,p_value,conf_low,conf_high,model,initial_price_adjusted,component,sale_year
treated_post,62879.6827881425,31653.5996431498,1.98649390581239,0.0505837096740088,-163.924617777171,125923.290194062,did_dollars,0,treatment,
sale_year::2008:initial_price_100k,19440.9183596348,5855.16292107965,3.32030357168098,0.00138334342086411,7779.35074471343,31102.4859745562,did_dollars,1,initial_price_year,2008
sale_year::2009:initial_price_100k,2763.29151539079,5370.31542509824,0.514549201798559,0.608361220553794,-7932.61862192962,13459.2016527112,did_dollars,1,initial_price_year,2009
sale_year::2010:initial_price_100k,-9016.8858069506,6175.01113152027,-1.46022178987241,0.148350774592039,-21315.4863418504,3281.71472794922,did_dollars,1,initial_price_year,2010
sale_year::2011:initial_price_100k,-4140.86846000016,6225.98980100259,-0.665093999886307,0.508003690558522,-16541.001814584,8259.26489458372,did_dollars,1,initial_price_year,2011
sale_year::2014:initial_price_100k,21368.9037920168,7963.15798942374,2.68347103252226,0.00893776102825404,5508.90013820845,37228.9074458251,did_dollars,1,initial_price_year,2014
sale_year::2015:initial_price_100k,29882.8491528374,6967.38917268904,4.28895938093611,5.21738992851139e-05,16006.0909768578,43759.6073288169,did_dollars,1,initial_price_year,2015
sale_year::2016:initial_price_100k,39944.8578615153,8585.11911086872,4.65280182437367,1.35854338619228e-05,22846.1112778611,57043.6044451695,did_dollars,1,initial_price_year,2016
sale_year::2017:initial_price_100k,50110.0537815712,10042.9159415003,4.98959207400132,3.73299954232515e-06,30107.8531799213,70112.254383221,did_dollars,1,initial_price_year,2017
sale_year::2018:initial_price_100k,48726.6625528261,10267.6297657448,4.74565831302073,9.55471812635499e-06,28276.9055824198,69176.4195232323,did_dollars,1,initial_price_year,2018
treated_post,41559.4251815432,23856.3812869644,1.7420674444138,0.0855422008039842,-5954.67599294322,89073.5263560296,did_dollars,1,treatment,
treated_post,56982.5980971901,30071.2202581826,1.89492137691635,0.0619061817961997,-2909.4276296239,116874.623824004,did_hedonic_dollars,0,treatment,
sale_year::2008:initial_price_100k,11844.4280443404,6272.69060451916,1.88825319007558,0.0628083588058921,-648.718021455834,24337.5741101366,did_hedonic_dollars,1,initial_price_year,2008
sale_year::2009:initial_price_100k,1696.49051729283,3503.40452832981,0.48424054475422,0.629607726315744,-5281.14432228673,8674.12535687238,did_hedonic_dollars,1,initial_price_year,2009
sale_year::2010:initial_price_100k,-9684.89888208023,4762.76685364143,-2.03346062901978,0.0454972525214498,-19170.7711706014,-199.026593559111,did_hedonic_dollars,1,initial_price_year,2010
sale_year::2011:initial_price_100k,-8737.22763997418,4833.54676182411,-1.80762245003644,0.0746220993716688,-18364.0703329359,889.615052987558,did_hedonic_dollars,1,initial_price_year,2011
sale_year::2014:initial_price_100k,18746.1738152859,6542.3820444052,2.86534379803101,0.00538436079727537,5715.89069561297,31776.4569349588,did_hedonic_dollars,1,initial_price_year,2014
sale_year::2015:initial_price_100k,29120.6593824348,5496.51204227825,5.29802521279742,1.10501707949597e-06,18173.4068992471,40067.9118656224,did_hedonic_dollars,1,initial_price_year,2015
sale_year::2016:initial_price_100k,41901.7812534353,6559.28708486798,6.38816089481753,1.2176225797794e-08,28837.8288277078,54965.7336791629,did_hedonic_dollars,1,initial_price_year,2016
sale_year::2017:initial_price_100k,47123.7363243623,8799.02067255792,5.35556604285863,8.776170439191e-07,29598.9678591315,64648.5047895931,did_hedonic_dollars,1,initial_price_year,2017
sale_year::2018:initial_price_100k,41059.0719317369,10073.2647018672,4.07604417703093,0.000111637083466702,20996.4265353276,61121.7173281462,did_hedonic_dollars,1,initial_price_year,2018
treated_post,35022.6936820612,21821.8972434953,1.60493348911268,0.112656135639311,-8439.38134828872,78484.768712411,did_hedonic_dollars,1,treatment,
treated_post,0.0551801353319041,0.0850682639840842,0.648657122499032,0.518515266268241,-0.114247995995218,0.224608266659026,did_hedonic_log,0,treatment,
sale_year::2008:initial_price_100k,-0.127617146878059,0.020283565344605,-6.29165261185217,1.83379602970303e-08,-0.168015368400846,-0.087218925355271,did_hedonic_log,1,initial_price_year,2008
sale_year::2009:initial_price_100k,-0.0174109694221065,0.0177254153891005,-0.982260163720204,0.329088365182699,-0.052714193747152,0.017892254902939,did_hedonic_log,1,initial_price_year,2009
sale_year::2010:initial_price_100k,-0.0424231402066495,0.0173506309808997,-2.44504884308534,0.0167986929807075,-0.0769799166913595,-0.00786636372193948,did_hedonic_log,1,initial_price_year,2010
sale_year::2011:initial_price_100k,-0.0590303026240376,0.0209793220544146,-2.81373737773458,0.00623069635932184,-0.100814243728729,-0.0172463615193459,did_hedonic_log,1,initial_price_year,2011
sale_year::2014:initial_price_100k,-0.000532965464754363,0.0192701132603757,-0.0276576197323281,0.978007722357324,-0.038912722230195,0.0378467913006863,did_hedonic_log,1,initial_price_year,2014
