school_id,reference_name,welcoming_name_tokens,printed_page,welcoming_moved_into_closed_building
609775,Altgeld,Wentworth,41,1
610156,Armstrong,Leland,41,0
610265,Banneker,Mays,41,1
610365,Bethune,Gregory,41,0
610161,Bontemps,Nicholson,41,0
610280,Buckingham,Montefiore,41,0
610243,Calhoun,Cather,41,0
609881,Delano,Melody,41,1
610266,Dumas,Wadsworth,41,1
610320,Duprey,De Diego,41,0
609906,Emmet,DePriest;Ellington,41,0
609916,Fermi,South Shore,41,0
400095,Garfield Park,Faraday,42,0
610348,Goldblatt,Hefferan,42,0
609913,Goodlow,Earle,42,1
610240,Henson,Charles Evans Hughes,42,0
609989,Herbert,Dett,42,1
610020,Key,Ellington,42,0
610023,King,Jensen,42,0
610028,Kohn,Lavizzo;Langston Hughes;Cullen,42,0
610031,Lafayette,Chopin,42,0
610045,Lawrence,Burnham,42,1
610241,Marconi,Tilton,42,0
610058,May,Leland,42,1
610061,Mayo,Wells,42,1
610072,Morgan,Ryder,42,0
610085,Near North,Montefiore,42,0
610277,Overton,Mollison,42,0
609932,Owens,Gompers,42,0
610273,Paderewski,Cardenas;Castellanos,43,0
610114,Parkman,Sherwood,43,0
610119,Peabody,Otis,43,0
610395,Pershing West,Pershing,43,1
610134,Pope,Johnson,43,0
610150,Ross,Dulles,43,0
610154,Ryerson,Ward,43,1
610169,Sexton,Fiske,43,1
610160,Songhai,Curtis,43,0
610187,Stewart,Brennemann,43,0
610189,Stockton,Courtenay,43,1
610205,Trumbull,Chappell;McPherson;McCutcheon,43,0
610210,Humboldt,De Diego,43,0
610224,West Pullman,Haley,43,0
610232,Williams Multiplex,Drake,43,1
610336,Williams Preparatory,Drake,43,1
610285,Woods,Bass,43,0
610233,Yale,Harvard,43,0
